,@type,url,name,description,image,contentRating,genre,duration,Language,Budget,First Day Collection Worldwide,Worldwide Collection,Overseas Collection,India Gross Collection,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount,alternateName,First Day Collection India,India Net Collection,India Gross collection,India Net collection
10,Movie,https://www.imdb.com/title/tt14993250/,Rocky Aur Rani Kii Prem Kahaani,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other&apos;s families for three months before getting married.",https://m.media-amazon.com/images/M/MV5BNzAyOWQ4MjUtMGNkMi00ODBkLWEyZDgtY2Q0YjJhYjg3MzNlXkEyXkFqcGdeQXVyMTUxMTM3OTc1._V1_.jpg,Not Rated,"Comedy, Drama, Family",PT2H48M,Hindi,150cr,23.5cr,355.6cr,172.8cr,182.8cr,Hit,AggregateRating,10,1,6.5,42995,,,,,
11,Movie,https://www.imdb.com/title/tt22444570/,Ponniyin Selvan: Part Two,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.",https://m.media-amazon.com/images/M/MV5BNmQ3NGM5ODMtNDhjYS00MDQwLWEwNjItNjZiNjdkMmQ3NjQzXkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H44M,Tamil,250cr,64.5cr,343.5cr,128.2cr,215.3cr,Hit,AggregateRating,10,1,7.3,18539,,,,,
12,Movie,https://www.imdb.com/title/tt11998558/,Varisu,"Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.",https://m.media-amazon.com/images/M/MV5BMjE4YjgyMGQtMWM0MS00MGVjLTlmNzYtMTNiNGY1NTNlZjJiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H49M,Tamil,175cr,46.5cr,292.8cr,87.3cr,205.5cr,Super Hit,AggregateRating,10,1,6.0,38965,,,,,
13,Movie,https://www.imdb.com/title/tt15281402/,Waltair Veerayya,A fisherman who engages in smuggling accepts a request from a disheveled police officer in order to use it to his personal advantage,https://m.media-amazon.com/images/M/MV5BNzE4ZDNjNDctNTk3Yy00MzllLWFjMGUtYjNiMzk1MmIzMmMxXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,Not Rated,"Action, Drama",PT2H35M,Telugu,125cr,44.6cr,236.2cr,28.7cr,207.5cr,Blockbuster,AggregateRating,10,1,6.2,7735,,,,,
14,Movie,https://www.imdb.com/title/tt24268454/,The Kerala Story,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.",https://m.media-amazon.com/images/M/MV5BYTlkZWMxYTQtY2UzYi00NTRmLTk3ZTMtZjQxZmNhNWFlMWEwXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_.jpg,,Drama,PT2H18M,Hindi,25cr,9.5cr,285.6cr,15.8cr,269.8cr,Blockbuster,AggregateRating,10,1,6.9,73276,,,,,
15,Movie,https://www.imdb.com/title/tt15732324/,OMG 2,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,https://m.media-amazon.com/images/M/MV5BNmQ3MThkOWEtNTA0NC00YzI2LWIxZjEtZjdlZTVmNzQ2ZGViXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,TV-MA,"Comedy, Drama",PT2H36M,Hindi,95cr,12.5cr,221.2cr,42.4cr,178.8cr,Super Hit,AggregateRating,10,1,7.5,43477,,,,,
16,Movie,https://www.imdb.com/title/tt15163652/,Thunivu,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people&apos;s money.,https://m.media-amazon.com/images/M/MV5BNDAzY2RhNmItMDY0MS00OTE4LTg4MGUtOTU2ZGE4NjdjMThkXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H26M,Tamil,115cr,39.6cr,196.8cr,55.3cr,141.5cr,Hit,AggregateRating,10,1,6.1,29637,,,,,
17,Movie,https://www.imdb.com/title/tt8672856/,Tu Jhoothi Main Makkaar,"Madness ensues when a &apos;player&apos; in the world of romantic relationships finds a girl who&apos;s a worthy opponent, that believes love is a battle of wits.",https://m.media-amazon.com/images/M/MV5BNmZmYWFiYzAtY2RhMC00MDRiLWI1M2YtNzRkZGNmYTIwZDI4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Comedy, Romance",PT2H30M,Hindi,90cr,22.3cr,192.8cr,47.4cr,168.4cr,Hit,AggregateRating,10,1,6.0,28236,,,,,
18,Movie,https://www.imdb.com/title/tt3679040/,Kisi Ka Bhai Kisi Ki Jaan,"The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who&apos;ve already found partners, come together to find a match for him.",https://m.media-amazon.com/images/M/MV5BZjk0ZjlhNDctMzAwZC00ZTAyLTliZTItOTRiNjMzNTAxODY3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H25M,Hindi,125cr,26.3cr,182.5cr,50.8cr,131.7cr,Average,AggregateRating,10,1,4.0,40957,,,,,
19,Movie,https://www.imdb.com/title/tt9006564/,2018,A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,https://m.media-amazon.com/images/M/MV5BZWFhZjBjY2ItMmZmMC00N2RjLTg2ZjktNDUwNmYwNmVjMDA5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Not Rated,"Action, Drama, Thriller",PT2H30M,Malayalam,15cr,3.5cr,180.5cr,67.8cr,112.7cr,All Time Blockbuster,AggregateRating,10,1,8.3,13232,,,,,
20,Movie,https://www.imdb.com/title/tt15398776/,Oppenheimer,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_.jpg,R,"Biography, Drama, History",PT3H,English,,,,,157.5cr,Super Hit,AggregateRating,10,1,8.3,795444,,17.3cr,131.8cr,,
21,Movie,https://www.imdb.com/title/tt22086334/,Dream Girl 2,"Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.",https://m.media-amazon.com/images/M/MV5BZGI3OTFkMTYtOGRlNC00NzRiLThlNWEtOGU0YzdkYWRiOWU0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,,"Comedy, Drama, Romance",PT2H14M,Hindi,65cr,12.6cr,140.2cr,15.6cr,124.6cr,Hit,AggregateRating,10,1,5.2,11590,,,,,
22,Movie,https://www.imdb.com/title/tt5433140/,Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,https://m.media-amazon.com/images/M/MV5BNzZmOTU1ZTEtYzVhNi00NzQxLWI5ZjAtNWNhNjEwY2E3YmZjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,PG-13,"Action, Adventure, Crime",PT2H21M,English,,,,,134.2cr,Super Hit,AggregateRating,10,1,5.7,125175,,15.2cr,109.8cr,,
23,Movie,https://www.imdb.com/title/tt9603212/,Mission: Impossible - Dead Reckoning Part One,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,https://m.media-amazon.com/images/M/MV5BMDkyMmZlN2EtMzhlNC00ODc5LTk0ODgtOWRlNzRkYzRkNTdmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,PG-13,"Action, Adventure, Thriller",PT2H43M,English,,,,,131.3cr,Super Hit,AggregateRating,10,1,7.7,263970,,14.5cr,110.3cr,,
24,Movie,https://www.imdb.com/title/tt15387190/,Veera Simha Reddy,"Veera Simha Reddy is a revered man in a village and his son Jai Simha Reddy settles in the USA. When his father gets killed in the village politics, Jai Simha returns to India and takes revenge on who killed his father.",https://m.media-amazon.com/images/M/MV5BODU4MDdlOTMtODNhNS00YmY2LWE3ZDgtN2IyMDgyM2E2ZjY4XkEyXkFqcGc@._V1_.jpg,,"Action, Drama",PT2H50M,Telugu,85cr,50.2cr,130.7cr,15.5cr,115.2cr,Hit,AggregateRating,10,1,4.9,6327,,,,,
25,Movie,https://www.imdb.com/title/tt26445483/,Fukrey 3,The friends facing disastrously funny situations together and having each other&apos;s backs through the trenches to make it out of a new mess this time.,https://m.media-amazon.com/images/M/MV5BZWUyZjJlOTAtM2ZkOC00ZDY1LTlhODUtMDZmMDVmMDgzMDFkXkEyXkFqcGdeQXVyOTc4NTg3MDM@._V1_.jpg,Not Rated,"Comedy, Crime, Drama",PT2H27M,Hindi,45cr,12.4cr,128.4cr,13.5cr,114.9cr,Super Hit,AggregateRating,10,1,5.5,24440,,,,,
26,Movie,https://www.imdb.com/title/tt10786774/,Sam Bahadur,Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.,https://m.media-amazon.com/images/M/MV5BYTE2Mjg4ZTUtMTVhZi00NmUxLTgwZDItY2E1MDQwMTU3NzBmXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_.jpg,,"Biography, Drama, War",PT2H30M,Hindi,55cr,8.4cr,127.3cr,17.6cr,109.7cr,Super Hit,AggregateRating,10,1,7.7,18249,,,,,
27,Movie,https://www.imdb.com/title/tt15440322/,Dasara,A brutal act sends an irresponsible small-time criminal on a mission of revenge.,https://m.media-amazon.com/images/M/MV5BNzkxNmQ5NGItZDFiZi00MTFiLWFmZTktODAxODliZDkzZTY4XkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Adventure, Drama",PT2H36M,Telugu,55cr,38.7cr,120.4cr,21.8cr,98.6cr,Super Hit,AggregateRating,10,1,6.6,10907,,,,,
28,Movie,https://www.imdb.com/title/tt14914988/,Satyaprem Ki Katha,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other&apos;s life and complement in accomplishing what was left halfway.",https://m.media-amazon.com/images/M/MV5BNTJiM2U3NTctNTAwNi00ZmQ5LThmNDUtYjI4MDdhYzQ5ZmExXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_.jpg,,"Comedy, Drama, Musical",PT2H26M,Hindi,75cr,9.3cr,117.2cr,25.4cr,91.8cr,Average,AggregateRating,10,1,6.7,30643,,,,,
29,Movie,https://www.imdb.com/title/tt15427980/,Vaathi,"When a private school teacher is assigned to a neglected public school, he must overcome personal and political strife in his fight for education.",https://m.media-amazon.com/images/M/MV5BOTA0OTkxZjEtNTgwZC00NDgwLTljNDAtODhlMDBmMzU0N2EzXkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_.jpg,Not Rated,"Action, Drama",PT2H19M,Tamil,40cr,14.8cr,116.5cr,24.65cr,91.85cr,Blockbuster,AggregateRating,10,1,7.3,10709,,,,,
30,Movie,https://www.imdb.com/title/tt26675491/,Bro,An arrogant man is given a second chance to fix his mistakes after death.,https://m.media-amazon.com/images/M/MV5BN2M2ZTM2MzMtZGMzMy00Yzc2LWEwNTUtNTI4OGJiNzYwZTUxXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_.jpg,Not Rated,"Comedy, Drama, Family",PT2H14M,Telugu,125cr,48.5cr,114.8cr,16.5cr,98.3cr,Flop,AggregateRating,10,1,6.1,10581,,,,,
31,Movie,https://www.imdb.com/title/tt21810110/,Bhagavanth Kesari,Nelakonda Bhagavanth Kesari is adamant about getting even with a powerful businessman who cost him money. He is prepared to square off against the formidable foe and resolve their issues amicably.,https://m.media-amazon.com/images/M/MV5BMTEwYjcxZmMtMDQxOS00YmUxLWI5ZDEtNDNlYzMzZmEwYzRkXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg,,"Action, Drama, Thriller",PT2H44M,Telugu,85cr,28.3cr,114.5cr,16.2cr,98.3cr,Hit,AggregateRating,10,1,5.9,4780,,,,,
32,Movie,https://www.imdb.com/title/tt15576460/,Zara Hatke Zara Bachke,"Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don&apos;t go as planned as their family gets to know of it, and thus begins a comedy of errors.",https://m.media-amazon.com/images/M/MV5BNGZmMjg3ZDEtZDRmZC00ZGNjLTlkZDktYWY4YWFhZTIwYjA0XkEyXkFqcGc@._V1_.jpg,Not Rated,"Comedy, Drama, Family",PT2H12M,Hindi,50cr,6.5cr,112.5cr,11.3cr,101.2cr,Super Hit,AggregateRating,10,1,6.0,16110,,,,,
33,Movie,https://www.imdb.com/title/tt15302222/,Bholaa,"After getting out of prison with the desire to meet his daughter, Bholaa&apos;s plans are interrupted by a well-orchestrated drug bust.",https://m.media-amazon.com/images/M/MV5BNTI1NGI5ZTItZjJhNC00NDQyLWE1YmMtMTMwZmJiNTNjYWZjXkEyXkFqcGdeQXVyNDYwMjI1MzI@._V1_.jpg,Not Rated,"Action, Adventure, Crime",PT2H24M,Hindi,115cr,16.5cr,110.5cr,14.2cr,96.3cr,Flop,AggregateRating,10,1,5.8,22667,,,,,
34,Movie,https://www.imdb.com/title/tt23052532/,Mark Antony,"Mark, the son of gangster Antony, finds a telephone that has the ability to contact the past.",https://m.media-amazon.com/images/M/MV5BNWZmMWM0OTYtYjYxMC00ZDQzLTllMzktYWMwZWFkYWYzNjU5XkEyXkFqcGdeQXVyOTE2NDU1NDM@._V1_.jpg,,"Action, Comedy, Crime",PT2H30M,Tamil,35cr,11.5cr,104.5cr,18.7cr,85.8cr,Blockbuster,AggregateRating,10,1,6.6,5692,,,,,
35,Movie,https://www.imdb.com/title/tt11720440/,Carry on Jatta 3,"Advocate Dhillon&apos;s son, Jass, is in love with Meet but her brothers get in a tussle with Adv. Dhillon. As a result, Adv. Dhillon rejects Meet&apos;s hand in marriage. Left with no option, Jass weaves a madhouse plan to propose to his f...",https://m.media-amazon.com/images/M/MV5BMGNmN2ExNzUtNDJiNC00YTY1LWIzYzYtZWY2ODM2NTc1NWY4XkEyXkFqcGdeQXVyMTIwNTMwNzg2._V1_.jpg,,"Comedy, Drama, Romance",PT2H16M,Punjabi,15cr,10.2cr,101.5cr,45.8cr,55.7cr,All Time Blockbuster,AggregateRating,10,1,6.0,11171,,,,,
36,Movie,https://www.imdb.com/title/tt15554914/,Baipan Bhari Deva,Six estranged sisters who are forced to come together for a Managalagaur competition. Can they overcome their past and face their struggles?,https://m.media-amazon.com/images/M/MV5BMTc4NzMzNWYtZDFhNy00MzRkLWEwNTUtNzRmNmY0Yzk3M2MwXkEyXkFqcGc@._V1_.jpg,,"Comedy, Drama, Family",PT2H17M,Marathi,5cr,1.5cr,90.5cr,0cr,90.5cr,Blockbuster,AggregateRating,10,1,8.0,1052,,,,,
37,Movie,https://www.imdb.com/title/tt24059780/,Virupaksha,"When a man visits his ancestral village, where terror reigns after a chain of unexplained deaths, he must unravel mystical secrets before it&apos;s too late.",https://m.media-amazon.com/images/M/MV5BZjZmNDVhNTUtMzE0Zi00ZWZjLTllZjAtY2Q3MGQ1NDU0ZDhiXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Horror, Mystery",PT2H25M,Telugu,35cr,11.8cr,90.25cr,14.6cr,75.65cr,Blockbuster,AggregateRating,10,1,7.2,6421,,,,,
38,Movie,https://www.imdb.com/title/tt16118524/,Baby,Two high-school sweethearts face challenges in their relationship when they take different directions in life.,https://m.media-amazon.com/images/M/MV5BYmRlNmYxMzUtY2E1Mi00ZWVjLWE0NTYtNTQ3NmJhM2I1YWJmXkEyXkFqcGc@._V1_.jpg,,"Drama, Romance",PT2H55M,Telugu,10cr,6.5cr,85.4cr,7.6cr,77.8cr,Blockbuster,AggregateRating,10,1,7.1,8516,,,,,
39,Movie,https://www.imdb.com/title/tt28358950/,Neru,"Sara, a blind sculptor, seeks justice after suffering trauma. She contends with the legal system and her own resilience to find resolution.",https://m.media-amazon.com/images/M/MV5BMTNjODdkNzUtZWEzOC00MWJjLWJmYzMtYjM3NjQyM2M4NzI5XkEyXkFqcGdeQXVyNTI0NzYwMTI@._V1_.jpg,,"Drama, Thriller",PT2H30M,Malayalam,15cr,5.9cr,85.2cr,32.4cr,52.8cr,Blockbuster,AggregateRating,10,1,7.5,7909,,,,,
40,Movie,https://www.imdb.com/title/tt24517458/,RDX: Robert Dony Xavier,The life of three mysterious individuals take a turn as their faces gets exposed.,https://m.media-amazon.com/images/M/MV5BYzcwZTZmOTUtMGE2Ny00ZWU3LWEwZjAtNzdjZWNlNGJmYWM1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Not Rated,"Action, Adventure",PT2H31M,Malayalam,10cr,2.5cr,84.2cr,28.7cr,55.5cr,Blockbuster,AggregateRating,10,1,7.1,5448,,,,,
41,Movie,https://www.imdb.com/title/tt25274786/,Kannur Squad,"The gripping saga of a police officer and his team, their challenging journey to nab a criminal gang across the country. Further, it shows how he leads his team towards triumph, amidst professional uncertainties in this gripping d...",https://m.media-amazon.com/images/M/MV5BZTE4Y2NiYTQtODM1OC00NTQ4LTllOTItMzQwYWExOTRlNzhkXkEyXkFqcGc@._V1_.jpg,,"Action, Crime, Drama",PT2H41M,Malayalam,25cr,5.2cr,82.3cr,34.5cr,47.8cr,Blockbuster,AggregateRating,10,1,7.6,9216,,,,,
42,Movie,https://www.imdb.com/title/tt22543326/,Maaveeran,"A cowardly cartoonist starts being &apos;controlled&apos; by a cartoon action figure, and takes on a corrupt politician.",https://m.media-amazon.com/images/M/MV5BZGMxMGZmZDItMjY5NC00OTVhLWE2MWEtNzJiZTU1NzI1MTllXkEyXkFqcGc@._V1_.jpg,,"Action, Comedy, Drama",PT2H43M,Tamil,55cr,11.5cr,80.2cr,15.4cr,64.8cr,Average,AggregateRating,10,1,7.4,9749,,,,,
43,Movie,https://www.imdb.com/title/tt25433734/,Hi Nanna,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.,https://m.media-amazon.com/images/M/MV5BMjZkNTdhOTMtYzg0Yy00YjA4LTljOTQtZWRkNTZkMTY3Y2Y3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg,,"Drama, Family, Romance",PT2H35M,Telugu,45cr,10.5cr,77.2cr,18.5cr,58.7cr,Super Hit,AggregateRating,10,1,8.2,17600,,,,,
44,Movie,https://www.imdb.com/title/tt15380630/,Kushi,"Raised in an atheist household, a young man falls in love with the daughter of his father&apos;s arch-rival, a devout Hindu leader.",https://m.media-amazon.com/images/M/MV5BNmU2Nzc2ZmItMTc5ZS00ZTE5LWEyOTMtMzIwYjBkNTI3Mjg4XkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_.jpg,Not Rated,"Comedy, Drama, Romance",PT2H43M,Telugu,55cr,26.8cr,76.8cr,18.9cr,57.9cr,Average,AggregateRating,10,1,5.4,8208,,,,,
45,Movie,https://www.imdb.com/title/tt15464390/,Mastaney,"Set in 1739, Nadar Shah&apos;s undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn&apos;t work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",https://m.media-amazon.com/images/M/MV5BYTZjMWEwM2EtZmZhYi00MGZlLWI4MWEtYjkxODBmZDJmNzEyXkEyXkFqcGdeQXVyODQwMDcwNDY@._V1_.jpg,,"Action, Drama, History",PT2H30M,Punjabi,20cr,7.3cr,74.2cr,41.4cr,32.8cr,Blockbuster,AggregateRating,10,1,7.5,5415,,,,,
46,Movie,https://www.imdb.com/title/tt20242416/,Maamannan,"The community that was exploited by the town&apos;s influential man, who completely rules due to the powerful backing of the authorities. A man collects evidence to flip him upside down when he was helpless to stop his endless torture.",https://m.media-amazon.com/images/M/MV5BNjFmMTI3MTUtMTdmNS00ODI0LWEwM2UtMDVjOTAxZmFhODg5XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,,"Action, Drama, Thriller",PT2H37M,Tamil,30cr,11.2cr,73.8cr,12.5cr,60.3cr,Blockbuster,AggregateRating,10,1,6.7,5793,,,,,
47,Movie,https://www.imdb.com/title/tt6791350/,Guardians of the Galaxy Vol. 3,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",https://m.media-amazon.com/images/M/MV5BMDgxOTdjMzYtZGQxMS00ZTAzLWI4Y2UtMTQzN2VlYjYyZWRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,PG-13,"Action, Adventure, Comedy",PT2H30M,English,,,,,72.3cr,Super Hit,AggregateRating,10,1,7.9,399013,,8.6cr,60.2cr,,
48,Movie,https://www.imdb.com/title/tt23849204/,12th Fail,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_.jpg,,"Biography, Drama",PT2H27M,Hindi,25cr,1.5cr,69.7cr,2.3cr,67.4cr,Blockbuster,AggregateRating,10,1,8.9,128837,,,,,
49,Movie,https://www.imdb.com/title/tt20249418/,Romancham,A game of Ouija board goes hilariously wrong when seven bachelors unexpectedly invite a spirit and try to make the best out of the situation.,https://m.media-amazon.com/images/M/MV5BOWRkNDBiMTAtMmJmZi00MzlmLWJjMzUtNDg2YmUzMzRlZmVlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,,"Comedy, Horror",PT2H10M,Malayalam,3cr,0.5cr,69.6cr,23.4cr,46.2cr,Blockbuster,AggregateRating,10,1,7.5,8172,,,,,
