,@type,url,name,description,image,contentRating,genre,duration,Language,Budget,Worldwide Gross,Worldwide Share,Domestic Nett,Verdict,aggregateRating.@type,aggregateRating.bestRating,aggregateRating.worstRating,aggregateRating.ratingValue,aggregateRating.ratingCount
23,Movie,https://www.imdb.com/title/tt8188610/,F2: Fun and Frustration,"After Venky, Varun also gets married thinking he can keep the wife in control but both of them get frustrated with the marital life which generates fun.",https://m.media-amazon.com/images/M/MV5BY2FiNmYyZDktZDJmNC00YmQwLWI4YTEtZTU3NDZhMGNhYzc4XkEyXkFqcGdeQXVyOTA3MTM0MTM@._V1_.jpg,PG,Comedy,PT2H28M,Telugu,45cr,131.8cr,80.6cr,97.2cr,Super Blockbuster,AggregateRating,10,1,6.1,3211
24,Movie,https://www.imdb.com/title/tt6903440/,Manikarnika: The Queen of Jhansi,"Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857, and her resistance to the British Rule.",https://m.media-amazon.com/images/M/MV5BNWU5NjgyMmEtYTBkZC00ZTBmLTg5YTQtM2FlMzg1Y2Y4NWI2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Action, Biography, Drama",PT2H28M,Hindi,100cr,131.5cr,52.6cr,90.5cr,Below Average,AggregateRating,10,1,6.4,16318
25,Movie,https://www.imdb.com/title/tt8647400/,De De Pyaar De,A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,https://m.media-amazon.com/images/M/MV5BOTRiYzExNWItNDk4ZS00Y2RiLTgwNmUtODI5N2FmOGM5NzM3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Comedy, Drama, Romance",PT2H15M,Hindi,75cr,130.9cr,52.4cr,94.5cr,Hit,AggregateRating,10,1,6.5,9165
26,Movie,https://www.imdb.com/title/tt8042248/,Kanchana 3,A young man who gets easily scared is possessed by a ghost that is seeking revenge.,https://m.media-amazon.com/images/M/MV5BY2FlM2JmZjItYjAxNC00MDE3LWE4YWEtNjk1NTFhNWI4NWM3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,"Action, Comedy, Horror",PT2H44M,Tamil,40cr,130cr,72.2cr,97.8cr,Super Blockbuster,AggregateRating,10,1,4.2,1807
27,Movie,https://www.imdb.com/title/tt6067752/,Lucifer,"A political Godfather dies and a lot of thieves dressed up as politicians took over the rule. Question arises regarding the successor of the God, unfolding few names, along with the God&apos;s most beloved angel, Lucifer.",https://m.media-amazon.com/images/M/MV5BZWQxOGRhMDYtMjdjZC00M2UwLTg4OGUtZjJiYWJlNjc1ZGViXkEyXkFqcGdeQXVyNTI0NzYwMTI@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H55M,Malayalam,30cr,121.5cr,53.6cr,61.3cr,Super Blockbuster,AggregateRating,10,1,7.5,12909
28,Movie,https://www.imdb.com/title/tt8908002/,Luka Chuppi,"Pretending to be married in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",https://m.media-amazon.com/images/M/MV5BY2MwM2ZhNTItMzkwNi00MTQxLTljMDAtZTk1YmU2M2YzNGVmXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,Not Rated,"Comedy, Romance",PT2H6M,Hindi,35cr,121.5cr,48.4cr,88.5cr,Super Hit,AggregateRating,10,1,6.4,13640
29,Movie,https://www.imdb.com/title/tt8869978/,Batla House,"In 2008, a violent shootout with terror suspects leaves one police officer struggling to hunt down the fugitives and justify the police action.",https://m.media-amazon.com/images/M/MV5BZmI4M2I1NWYtM2MwNS00NDJmLThhMmMtNDk1MzM4ZWQyMDZmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H26M,Hindi,50cr,112.5cr,45.1cr,87.1cr,Hit,AggregateRating,10,1,7.2,12690
30,Movie,https://www.imdb.com/title/tt9680136/,Pati Patni Aur Woh,"Chintu Tyagi is an ordinary, middle class man who finds himself torn between his wife and another woman.",https://m.media-amazon.com/images/M/MV5BMjQzOGM5ZmYtYzA2ZS00ZDk0LWI2NzctMmMzZDg3MWExMmM0XkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_.jpg,Not Rated,"Comedy, Romance",PT2H6M,Hindi,40cr,109cr,43.6cr,80.5cr,Hit,AggregateRating,10,1,5.8,8497
31,Movie,https://www.imdb.com/title/tt9900782/,Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",https://m.media-amazon.com/images/M/MV5BZDk2NWQyMjQtODlkYi00YTJjLTkxMGItMGU0ZDExODI3OWIxXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H25M,Tamil,30cr,102.9cr,54.1cr,72.4cr,Super Blockbuster,AggregateRating,10,1,8.4,43967
32,Movie,https://www.imdb.com/title/tt9675716/,Nerkonda Paarvai,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",https://m.media-amazon.com/images/M/MV5BOWRkMzE4NWEtZWE1Yi00N2I4LWJiNTYtMjRjY2I5MDRkNjQ3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT2H37M,Tamil,75cr,102.8cr,50.7cr,65.3cr,Average,AggregateRating,10,1,7.7,10736
33,Movie,https://www.imdb.com/title/tt8361196/,Vinaya Vidheya Rama,"When the happiness of his family is held to ransom by a violent crime lord, Ram sets out on a quest to destroy his nemesis and his criminal empire.",https://m.media-amazon.com/images/M/MV5BN2FjMTMwMDktZTJkOC00ZjkzLTgxOGEtYzA2ZTc1MGFkMzhhXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg,Not Rated,"Action, Drama",PT2H26M,Telugu,85cr,97.3cr,61.8cr,79.6cr,Flop,AggregateRating,10,1,3.3,4141
34,Movie,https://www.imdb.com/title/tt7255568/,Student of the Year 2,"A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college&apos;s coveted Student of the Year trophy.",https://m.media-amazon.com/images/M/MV5BNmFiNjRlODUtNjRiZi00ZDQ0LTk3ZDItZDhjNmU5N2RkNGNjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H26M,Hindi,75cr,91.3cr,36.5cr,65.7cr,Flop,AggregateRating,10,1,2.2,22808
35,Movie,https://www.imdb.com/title/tt10324144/,Article 15,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",https://m.media-amazon.com/images/M/MV5BZTI2NTFiMDMtZjQxNS00YjBkLWFhNWMtOTIyMzE5Yjc0ZTZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Crime, Drama, Mystery",PT2H10M,Hindi,30cr,88cr,35cr,63cr,Super Hit,AggregateRating,10,1,8.1,37470
36,Movie,https://www.imdb.com/title/tt10709404/,Namma Veettu Pillai,A brother who dotes on his sister is forced into a situation where he has to get her married to a ruffian with whom he is at loggerheads. Can their relationship survive?,https://m.media-amazon.com/images/M/MV5BM2Y4MWU3ZGEtMTYxMy00MGVjLWI1OTEtMzA0ODBmNzU1ZDY0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H33M,Tamil,35cr,72.5cr,36.2cr,52.5cr,Super Hit,AggregateRating,10,1,6.0,1784
37,Movie,https://www.imdb.com/title/tt8411144/,Kaappaan,"A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation.",https://m.media-amazon.com/images/M/MV5BNzE3ODVmZTctMjlmYy00MDc2LWJhODktMTYwMzYyNDk4NjY0XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,"Action, Thriller",PT2H46M,Tamil,75cr,69.2cr,33.8cr,44.9cr,Flop,AggregateRating,10,1,6.2,6396
38,Movie,https://www.imdb.com/title/tt9558468/,iSmart Shankar,A contract killer escapes after murdering a politician and must help the cops find a murderer after a slain officer&apos;s memories are transferred to his brain.,https://m.media-amazon.com/images/M/MV5BMzI0OWVlMzAtY2FhNy00Zjk5LWEwNGEtMjgwMmM2YjRkOGE0XkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Sci-Fi, Thriller",PT2H20M,Telugu,25cr,66.7cr,38.7cr,54.6cr,Blockbuster,AggregateRating,10,1,5.4,2869
39,Movie,https://www.imdb.com/title/tt9477520/,Asuran,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",https://m.media-amazon.com/images/M/MV5BZTgzNTRkYWEtYWJmOC00NjMzLWFlMWEtMWRiNmFlMjBiOTI1XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,"Action, Drama",PT2H21M,Tamil,35cr,66.5cr,32.8cr,45.9cr,Super Hit,AggregateRating,10,1,8.4,34290
40,Movie,https://www.imdb.com/title/tt8737614/,Majili,"After being abandoned by his lover, Anshu, Poorna takes to alcohol and is forced to marry his neighbour, Sravani. However, he soon discovers her unrequited love for him and falls for her.",https://m.media-amazon.com/images/M/MV5BOTYyYjhiOTYtODA0MC00M2ExLWE4M2ItNWZiMmFiNzQ1MGE1XkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,Not Rated,"Drama, Romance",PT2H34M,Telugu,30cr,66cr,38cr,50.2cr,Blockbuster,AggregateRating,10,1,7.3,5455
41,Movie,https://www.imdb.com/title/tt5668770/,Mardaani 2,A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He&apos;s locked horns with top cop Shivani Shivaji Roy. Will she nab him?,https://m.media-amazon.com/images/M/MV5BNjJjODEwZjctZjkzZi00YzU0LTkxYWYtNGU2N2M0OTQ2MzI4XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,Not Rated,"Action, Crime, Drama",PT1H43M,Hindi,35cr,63.5cr,25.4cr,44.9cr,Hit,AggregateRating,10,1,7.3,10504
42,Movie,https://www.imdb.com/title/tt9564774/,Venky Mama,A story of nephew and a son which revolves around their emotions and village drama and army based story.,https://m.media-amazon.com/images/M/MV5BMjA1ZWYwYmItZDM4OS00M2M5LWFkNDItNThjNjY1OTU3Mjc2XkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Comedy, Drama",PT2H29M,Telugu,40cr,61.8cr,36.5cr,47.7cr,Hit,AggregateRating,10,1,5.4,1524
43,Movie,https://www.imdb.com/title/tt9248934/,Marjaavaan,Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.,https://m.media-amazon.com/images/M/MV5BMWIwMGZkMTgtZDQ1Ny00NzVmLWE5NDQtMDAyZDNjOTc2YzAyXkEyXkFqcGc@._V1_.jpg,Not Rated,"Action, Drama, Romance",PT2H32M,Hindi,50cr,61cr,25cr,46cr,Below Average,AggregateRating,10,1,3.7,4668
44,Movie,https://www.imdb.com/title/tt10940334/,Prati Roju Pandaage,"With only a few weeks left to live, an aging grandfather is visited by his grandson who wishes to fulfill his desires.",https://m.media-amazon.com/images/M/MV5BNDQ1M2Q5ZGItM2ZhYS00ZjhmLWE0NWUtN2QwNzkyY2FhYTZjXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,,"Drama, Family",PT2H26M,Telugu,35cr,60.2cr,34.7cr,46.1cr,Blockbuster,AggregateRating,10,1,6.3,1358
45,Movie,https://www.imdb.com/title/tt8094252/,NGK,"An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?",https://m.media-amazon.com/images/M/MV5BN2M0Y2FiNWItZDE4Zi00ODFiLTljNWMtYjk0MjZkM2M4MTZmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Not Rated,"Action, Drama",PT2H28M,Tamil,75cr,57.9cr,28.6cr,40.1cr,Disaster,AggregateRating,10,1,5.7,5470
46,Movie,https://www.imdb.com/title/tt10711648/,Comali,A youngster in his mid-30s goes through a series of struggles after coming to terms with the fact that he was in coma for 16 years.,https://m.media-amazon.com/images/M/MV5BZTg2MDIzOWMtZTJiYi00ODAyLWE2MjItMjY3MjU3ZGVlMjAwXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,Not Rated,Comedy,PT2H23M,Tamil,25cr,54cr,28.7cr,38.7cr,Super Hit,AggregateRating,10,1,6.9,4119
47,Movie,https://www.imdb.com/title/tt7968456/,Kurukshetra,The film is based on the epic Mahabharata and poet Ranna&apos;s Gadhayuddha&apos;s story narrates the events of the Kurukshetra war.,https://m.media-amazon.com/images/M/MV5BN2JkMzBjNDEtNzM3OS00YTY4LWJlZTUtZGRlNDllMjE1NjBjXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg,,"History, War",PT3H5M,Kannada,50cr,53.7cr,29.4cr,45.6cr,Average,AggregateRating,10,1,6.1,1779
48,Movie,https://www.imdb.com/title/tt8983218/,Shadaa,"Amidst pressures from his parents to hurry up and wed, a young man seeks his perfect match. After many failed attempts with matchmakers, his parents are delighted when their son finally meets the woman of his dreams but things do ...",https://m.media-amazon.com/images/M/MV5BYzAxNmE1MWItMmVhYi00NWU5LTkzMDgtN2Q0ZjliMDFhZDgwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Not Rated,"Comedy, Music, Romance",PT2H8M,Punjabi,10cr,53cr,21cr,31cr,Super Blockbuster,AggregateRating,10,1,6.2,1135
49,Movie,https://www.imdb.com/title/tt8948790/,Jersey,A failed cricketer decides to revive his cricketing career in his late 30&apos;s despite everyone being skeptical of his ability to do so.,https://m.media-amazon.com/images/M/MV5BMWU0ZTk1ODYtOTk4MS00ZTdmLWJjOWYtMmJiYWQ2ZTcwZjJlXkEyXkFqcGc@._V1_.jpg,Not Rated,"Drama, Sport",PT2H37M,Telugu,30cr,51.7cr,29.6cr,34.6cr,Hit,AggregateRating,10,1,8.5,23196
